epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2055.21,0.50886,0.46451,1.08309,0.98393,0.94829,0.98581,0.95223,0.29681,0.2765,0.90613,0.0011882,0.0011882,0.0011882
43,2104.9,0.50685,0.45359,1.07489,0.97536,0.95365,0.98385,0.94592,0.29561,0.28171,0.91078,0.0011684,0.0011684,0.0011684
44,2154.37,0.49918,0.45762,1.08231,0.9857,0.94895,0.98977,0.94491,0.31472,0.28324,0.92487,0.0011486,0.0011486,0.0011486
45,2204.85,0.51349,0.45912,1.08358,0.97343,0.9459,0.97965,0.92705,0.33554,0.30678,0.94765,0.0011288,0.0011288,0.0011288
46,2255,0.48706,0.44919,1.0662,0.9786,0.9346,0.98567,0.94554,0.30424,0.28454,0.91362,0.001109,0.001109,0.001109
47,2304.48,0.50327,0.45672,1.08256,0.99452,0.93642,0.98529,0.95007,0.28672,0.25634,0.90892,0.0010892,0.0010892,0.0010892
48,2352.55,0.50104,0.44865,1.07968,0.97185,0.95087,0.9882,0.94209,0.32324,0.27544,0.93116,0.0010694,0.0010694,0.0010694
49,2402.3,0.48694,0.44803,1.07338,0.98522,0.95009,0.99001,0.95383,0.27646,0.26818,0.89322,0.0010496,0.0010496,0.0010496
50,2451.66,0.4858,0.43889,1.06886,0.9817,0.95181,0.98914,0.94582,0.31091,0.28088,0.9192,0.0010298,0.0010298,0.0010298
51,2503.62,0.49119,0.43548,1.06695,0.98574,0.9515,0.98756,0.95322,0.29267,0.26635,0.90482,0.00101,0.00101,0.00101
52,2551.96,0.48831,0.44697,1.07043,0.97507,0.94244,0.97692,0.94471,0.28699,0.26217,0.90369,0.0009902,0.0009902,0.0009902
53,2600.66,0.48054,0.43335,1.06951,0.98219,0.94907,0.98292,0.95426,0.28484,0.27295,0.89594,0.0009704,0.0009704,0.0009704
54,2649.1,0.47756,0.42516,1.05925,0.98716,0.93804,0.9821,0.952,0.27361,0.25054,0.90208,0.0009506,0.0009506,0.0009506
55,2696.18,0.46145,0.41641,1.05258,0.98155,0.95697,0.98686,0.9546,0.27327,0.24718,0.89784,0.0009308,0.0009308,0.0009308
56,2744.47,0.47584,0.42087,1.06723,0.97709,0.95437,0.98926,0.95818,0.255,0.24122,0.87816,0.000911,0.000911,0.000911
